	net_name	dataset_name	train_or_test	loss	accuracy	precision	recall	fmeasure
0	MobileNet	03_France_ByShape_128_3dim	train	2.9551617422440057	0.8153988824041078	0.8153988824041078	0.8153988824041078	0.8153988333049201
1	MobileNet	03_France_ByShape_128_3dim	test	3.0277085699429267	0.8121546961325967	0.8121546961325967	0.8121546961325967	0.8121546855947589
2	MobileNet	03_France_ByShape_128_3dim	train	0.0038941328012074704	0.9984539257352116	0.9984539257352116	0.9984539257352116	0.9984539229706179
3	MobileNet	03_France_ByShape_128_3dim	test	2.821995511239405	0.2679558012696261	0.2652670327800414	0.2513812157989207	0.25801842844947265
4	MobileNet	03_France_ByShape_160_3dim	train	0.06034917961754562	0.9950525623526776	0.9950525623526776	0.9950525623526776	0.9950525535059772
5	MobileNet	03_France_ByShape_160_3dim	test	2.0776573528499647	0.8121546961737601	0.8121546961737601	0.8121546961737601	0.812154654104736
6	MobileNet	03_France_ByShape_192_3dim	train	2.97294422536259	0.8153988853898694	0.8153988853898694	0.8153988853898694	0.8153988401611129
7	MobileNet	03_France_ByShape_192_3dim	test	3.0277085699429267	0.8121546961325967	0.8121546961325967	0.8121546961325967	0.8121546855947589
8	MobileNet	03_France_ByShape_224_3dim	train	2.975418269523664	0.8153988857216207	0.8153988857216207	0.8153988857216207	0.8153988404928643
9	MobileNet	03_France_ByShape_224_3dim	test	3.0277085699429267	0.8121546961325967	0.8121546961325967	0.8121546961325967	0.8121546855947589
10	SqueezeNet	03_France_ByShape_128_3dim	train	2.9754182681966586	0.8153988853898694	0.8153988853898694	0.8153988853898694	0.8153988417092856
11	SqueezeNet	03_France_ByShape_128_3dim	test	3.0277085699429267	0.8121546961325967	0.8121546961325967	0.8121546961325967	0.8121546855947589
12	SqueezeNet	03_France_ByShape_160_3dim	train	2.9654503686972142	0.8160173135476121	0.8160173135476121	0.8160173135476121	0.8160172677659369
13	SqueezeNet	03_France_ByShape_160_3dim	test	3.0277085699429267	0.8121546961325967	0.8121546961325967	0.8121546961325967	0.8121546855947589
14	SqueezeNet	03_France_ByShape_192_3dim	train	2.9754182679754906	0.8153988857216207	0.8153988857216207	0.8153988857216207	0.8153988404928643
15	SqueezeNet	03_France_ByShape_192_3dim	test	3.0277085699429267	0.8121546961325967	0.8121546961325967	0.8121546961325967	0.8121546855947589
16	MobileNet	03_France_ByShape_128_3dim	train	2.9604701634240724	0.8163265247513058	0.8163265247513058	0.8163265247513058	0.8163264756521179
17	MobileNet	03_France_ByShape_128_3dim	test	3.0277085699429267	0.8121546961325967	0.8121546961325967	0.8121546961325967	0.8121546855947589
18	MobileNet	03_France_ByShape_128_3dim	train	0.05542961526927052	0.9808287036293588	0.9835203515207908	0.9786642035290866	0.9806172856225892
19	MobileNet	03_France_ByShape_128_3dim	test	1.1519907200863349	0.31491712641320835	0.2566509355497624	0.1657458566828986	0.19998397188292025
20	MobileNet	03_France_ByShape_160_3dim	train	0.03178535982285065	0.9913419959127866	0.9934782566077636	0.989486711955616	0.9910046730648976
21	MobileNet	03_France_ByShape_160_3dim	test	0.6270748508569285	0.8176795580110497	0.8250715166165684	0.7016574585635359	0.7570385906577769
22	MobileNet	03_France_ByShape_192_3dim	train	0.03929823439858564	0.9885590708985621	0.9912887056005096	0.9857761385120872	0.9885138550435753
23	MobileNet	03_France_ByShape_192_3dim	test	1.6938716283489983	0.3232044192308879	0.2728210717274997	0.2099447507226006	0.23465970010388626
24	MobileNet	03_France_ByShape_224_3dim	train	2.9754184314182828	0.8153988868274582	0.8153988868274582	0.8153988868274582	0.8153988695395309
25	MobileNet	03_France_ByShape_224_3dim	test	3.0277085699429267	0.8121546961325967	0.8121546961325967	0.8121546961325967	0.8121546855947589
26	MobileNet	03_France_ByShape_224_3dim	train	1.6032400480547593	0.9004329055381839	0.9004329055381839	0.9004329055381839	0.9004328896141229
27	MobileNet	03_France_ByShape_224_3dim	test	3.192992875918503	0.7900552486187845	0.7900552486187845	0.7900552486187845	0.7900552123949672
28	MobileNet	03_France_ByShape_224_3dim	train	1.6032400480547593	0.9004329055381839	0.9004329055381839	0.9004329055381839	0.9004328896141229
29	MobileNet	03_France_ByShape_224_3dim	test	3.192992875918503	0.7900552486187845	0.7900552486187845	0.7900552486187845	0.7900552123949672
30	SqueezeNet	03_France_ByShape_128_3dim	train	2.9754183291283085	0.8153988953424075	0.8153988953424075	0.8153988953424075	0.8153988684429088
31	SqueezeNet	03_France_ByShape_128_3dim	test	3.0277085699429267	0.8121546961325967	0.8121546961325967	0.8121546961325967	0.8121546855947589
32	SqueezeNet	03_France_ByShape_160_3dim	train	0.9878237947182844	0.938157084635842	0.938157084635842	0.938157084635842	0.9381570822122146
33	SqueezeNet	03_France_ByShape_160_3dim	test	1.2146295328825272	0.9226519343602724	0.9226519343602724	0.9226519343602724	0.922651895831303
34	SqueezeNet	03_France_ByShape_192_3dim	train	1.9424010898570048	0.8794063009372374	0.8794063009372374	0.8794063009372374	0.8794062717431257
35	SqueezeNet	03_France_ByShape_192_3dim	test	2.4488819817811844	0.8480662983425414	0.8480662983425414	0.8480662983425414	0.8480662861581665
36	SqueezeNet	03_France_ByShape_224_3dim	train	2.9704343776461077	0.815708098768377	0.815708098768377	0.815708098768377	0.8157080670677002
37	SqueezeNet	03_France_ByShape_224_3dim	test	3.0277085699429267	0.8121546961325967	0.8121546961325967	0.8121546961325967	0.8121546855947589
38	SqueezeNet	03_France_ByShape_224_3dim	train	2.0982509152566355	0.8698206501163371	0.8698206501163371	0.8698206501163371	0.8698206215488667
