	net_name	dataset_name	train_or_test	image_size	batch_size_app	batch_size_small_net	dense_1	dense_2	activation_1	activation_2	optimiser
65	VGG19	03_France_ByShape_128_3dim	test	128	-1	10	0.5	-1	relu	relu	adam
66	VGG19	03_France_ByShape_160_3dim	train	160	-1	10	0.5	-1	relu	relu	adam
67	VGG19	03_France_ByShape_160_3dim	test	160	-1	10	0.5	-1	relu	relu	adam
68	VGG19	03_France_ByShape_192_3dim	train	192	-1	10	0.5	-1	relu	relu	adam
69	VGG19	03_France_ByShape_192_3dim	test	192	-1	10	0.5	-1	relu	relu	adam
70	VGG19	03_France_ByShape_224_3dim	train	224	-1	10	0.5	-1	relu	relu	adam
71	VGG19	03_France_ByShape_224_3dim	test	224	-1	10	0.5	-1	relu	relu	adam
72	MobileNet	03_France_ByMeaning_128_3dim	train	128	-1	10	0.5	-1	relu	relu	adam
73	MobileNet	03_France_ByMeaning_128_3dim	test	128	-1	10	0.5	-1	relu	relu	adam
74	MobileNet	03_France_ByMeaning_160_3dim	train	160	-1	10	0.5	-1	relu	relu	adam
75	MobileNet	03_France_ByMeaning_160_3dim	test	160	-1	10	0.5	-1	relu	relu	adam
76	MobileNet	03_France_ByMeaning_192_3dim	train	192	-1	10	0.5	-1	relu	relu	adam
77	MobileNet	03_France_ByMeaning_192_3dim	test	192	-1	10	0.5	-1	relu	relu	adam
78	MobileNet	03_France_ByMeaning_224_3dim	train	224	-1	10	0.5	-1	relu	relu	adam
79	MobileNet	03_France_ByMeaning_224_3dim	test	224	-1	10	0.5	-1	relu	relu	adam
80	SqueezeNet	03_France_ByMeaning_128_3dim	train	128	-1	10	0.5	-1	relu	relu	adam
81	SqueezeNet	03_France_ByMeaning_128_3dim	test	128	-1	10	0.5	-1	relu	relu	adam
82	SqueezeNet	03_France_ByMeaning_160_3dim	train	160	-1	10	0.5	-1	relu	relu	adam
83	SqueezeNet	03_France_ByMeaning_160_3dim	test	160	-1	10	0.5	-1	relu	relu	adam
84	SqueezeNet	03_France_ByMeaning_192_3dim	train	192	-1	10	0.5	-1	relu	relu	adam
85	SqueezeNet	03_France_ByMeaning_192_3dim	test	192	-1	10	0.5	-1	relu	relu	adam
86	SqueezeNet	03_France_ByMeaning_224_3dim	train	224	-1	10	0.5	-1	relu	relu	adam
87	SqueezeNet	03_France_ByMeaning_224_3dim	test	224	-1	10	0.5	-1	relu	relu	adam
88	Xception	03_France_ByMeaning_128_3dim	train	128	-1	10	0.5	-1	relu	relu	adam
89	Xception	03_France_ByMeaning_128_3dim	test	128	-1	10	0.5	-1	relu	relu	adam
90	Xception	03_France_ByMeaning_160_3dim	train	160	-1	10	0.5	-1	relu	relu	adam
91	Xception	03_France_ByMeaning_160_3dim	test	160	-1	10	0.5	-1	relu	relu	adam
92	Xception	03_France_ByMeaning_192_3dim	train	192	-1	10	0.5	-1	relu	relu	adam
93	Xception	03_France_ByMeaning_192_3dim	test	192	-1	10	0.5	-1	relu	relu	adam
94	Xception	03_France_ByMeaning_224_3dim	train	224	-1	2	0.5	-1	relu	relu	adam
95	Xception	03_France_ByMeaning_224_3dim	test	224	-1	2	0.5	-1	relu	relu	adam
96	VGG16	03_France_ByMeaning_128_3dim	train	128	-1	10	0.5	-1	relu	relu	adam
97	VGG16	03_France_ByMeaning_128_3dim	test	128	-1	10	0.5	-1	relu	relu	adam
98	VGG16	03_France_ByMeaning_160_3dim	train	160	-1	10	0.5	-1	relu	relu	adam
99	VGG16	03_France_ByMeaning_160_3dim	test	160	-1	10	0.5	-1	relu	relu	adam
100	VGG16	03_France_ByMeaning_192_3dim	train	192	-1	4	0.5	-1	relu	relu	adam
101	VGG16	03_France_ByMeaning_192_3dim	test	192	-1	4	0.5	-1	relu	relu	adam
102	VGG16	03_France_ByMeaning_224_3dim	train	224	-1	10	0.5	-1	relu	relu	adam
103	VGG16	03_France_ByMeaning_224_3dim	test	224	-1	10	0.5	-1	relu	relu	adam
104	VGG19	03_France_ByMeaning_128_3dim	train	128	-1	10	0.5	-1	relu	relu	adam
105	VGG19	03_France_ByMeaning_128_3dim	test	128	-1	10	0.5	-1	relu	relu	adam
106	VGG19	03_France_ByMeaning_160_3dim	train	160	-1	10	0.5	-1	relu	relu	adam
107	VGG19	03_France_ByMeaning_160_3dim	test	160	-1	10	0.5	-1	relu	relu	adam
108	VGG19	03_France_ByMeaning_192_3dim	train	192	-1	4	0.5	-1	relu	relu	adam
109	VGG19	03_France_ByMeaning_192_3dim	test	192	-1	4	0.5	-1	relu	relu	adam
110	VGG19	03_France_ByMeaning_224_3dim	train	224	-1	10	0.5	-1	relu	relu	adam
111	VGG19	03_France_ByMeaning_224_3dim	test	224	-1	10	0.5	-1	relu	relu	adam
112	MobileNet	03_France_ByMeaningLarge_128_3dim	train	128	-1	10	0.5	-1	relu	relu	adam
113	MobileNet	03_France_ByMeaningLarge_128_3dim	test	128	-1	10	0.5	-1	relu	relu	adam
114	MobileNet	03_France_ByMeaningLarge_160_3dim	train	160	-1	10	0.5	-1	relu	relu	adam
115	MobileNet	03_France_ByMeaningLarge_160_3dim	test	160	-1	10	0.5	-1	relu	relu	adam
116	MobileNet	03_France_ByMeaningLarge_192_3dim	train	192	-1	10	0.5	-1	relu	relu	adam
117	MobileNet	03_France_ByMeaningLarge_192_3dim	test	192	-1	10	0.5	-1	relu	relu	adam
118	MobileNet	03_France_ByMeaningLarge_224_3dim	train	224	-1	10	0.5	-1	relu	relu	adam
119	MobileNet	03_France_ByMeaningLarge_224_3dim	test	224	-1	10	0.5	-1	relu	relu	adam
120	SqueezeNet	03_France_ByMeaningLarge_128_3dim	train	128	-1	10	0.5	-1	relu	relu	adam
121	SqueezeNet	03_France_ByMeaningLarge_128_3dim	test	128	-1	10	0.5	-1	relu	relu	adam
122	SqueezeNet	03_France_ByMeaningLarge_160_3dim	train	160	-1	10	0.5	-1	relu	relu	adam
123	SqueezeNet	03_France_ByMeaningLarge_160_3dim	test	160	-1	10	0.5	-1	relu	relu	adam
124	SqueezeNet	03_France_ByMeaningLarge_192_3dim	train	192	-1	10	0.5	-1	relu	relu	adam
125	SqueezeNet	03_France_ByMeaningLarge_192_3dim	test	192	-1	10	0.5	-1	relu	relu	adam
126	SqueezeNet	03_France_ByMeaningLarge_224_3dim	train	224	-1	10	0.5	-1	relu	relu	adam
127	SqueezeNet	03_France_ByMeaningLarge_224_3dim	test	224	-1	10	0.5	-1	relu	relu	adam
128	Xception	03_France_ByMeaningLarge_128_3dim	train	128	-1	10	0.5	-1	relu	relu	adam
129	Xception	03_France_ByMeaningLarge_128_3dim	test	128	-1	10	0.5	-1	relu	relu	adam
130	Xception	03_France_ByMeaningLarge_160_3dim	train	160	-1	10	0.5	-1	relu	relu	adam
131	Xception	03_France_ByMeaningLarge_160_3dim	test	160	-1	10	0.5	-1	relu	relu	adam
132	Xception	03_France_ByMeaningLarge_192_3dim	train	192	-1	10	0.5	-1	relu	relu	adam
133	Xception	03_France_ByMeaningLarge_192_3dim	test	192	-1	10	0.5	-1	relu	relu	adam
134	Xception	03_France_ByMeaningLarge_224_3dim	train	224	-1	10	0.5	-1	relu	relu	adam
135	Xception	03_France_ByMeaningLarge_224_3dim	test	224	-1	10	0.5	-1	relu	relu	adam
136	VGG16	03_France_ByMeaningLarge_128_3dim	train	128	-1	10	0.5	-1	relu	relu	adam
137	VGG16	03_France_ByMeaningLarge_128_3dim	test	128	-1	10	0.5	-1	relu	relu	adam
138	VGG16	03_France_ByMeaningLarge_160_3dim	train	160	-1	10	0.5	-1	relu	relu	adam
139	VGG16	03_France_ByMeaningLarge_160_3dim	test	160	-1	10	0.5	-1	relu	relu	adam
140	VGG16	03_France_ByMeaningLarge_192_3dim	train	192	-1	10	0.5	-1	relu	relu	adam
141	VGG16	03_France_ByMeaningLarge_192_3dim	test	192	-1	10	0.5	-1	relu	relu	adam
142	VGG16	03_France_ByMeaningLarge_224_3dim	train	224	-1	10	0.5	-1	relu	relu	adam
143	VGG16	03_France_ByMeaningLarge_224_3dim	test	224	-1	10	0.5	-1	relu	relu	adam
144	VGG19	03_France_ByMeaningLarge_128_3dim	train	128	-1	10	0.5	-1	relu	relu	adam
145	VGG19	03_France_ByMeaningLarge_128_3dim	test	128	-1	10	0.5	-1	relu	relu	adam
146	VGG19	03_France_ByMeaningLarge_160_3dim	train	160	-1	10	0.5	-1	relu	relu	adam
147	VGG19	03_France_ByMeaningLarge_160_3dim	test	160	-1	10	0.5	-1	relu	relu	adam
148	VGG19	03_France_ByMeaningLarge_192_3dim	train	192	-1	10	0.5	-1	relu	relu	adam
149	VGG19	03_France_ByMeaningLarge_192_3dim	test	192	-1	10	0.5	-1	relu	relu	adam
150	VGG19	03_France_ByMeaningLarge_224_3dim	train	224	-1	10	0.5	-1	relu	relu	adam
151	VGG19	03_France_ByMeaningLarge_224_3dim	test	224	-1	10	0.5	-1	relu	relu	adam
