	net_name	dataset_name	train_or_test	loss	accuracy	precision	recall	fmeasure
0	MobileNet	160	train	2.514896391586331	0.8382807610096871	0.8382807610096871	0.8382807610096871	0.8382807271894881
1	MobileNet	03_France_ByShape_160_3dim	test	3.0277085699429267	0.8121546961325967	0.8121546961325967	0.8121546961325967	0.8121546855947589
2	MobileNet	03_France_ByShape_192_3dim	train	2.9671932188725125	0.8153988835468068	0.8153988835468068	0.8153988835468068	0.8153988505559862
3	MobileNet	03_France_ByShape_192_3dim	test	3.0277085699429267	0.8121546961325967	0.8121546961325967	0.8121546961325967	0.8121546855947589
4	MobileNet	03_France_ByShape_224_3dim	train	2.973344713947105	0.8153988837311129	0.8153988837311129	0.8153988837311129	0.8153988511089049
5	MobileNet	03_France_ByShape_224_3dim	test	3.0277085699429267	0.8121546961325967	0.8121546961325967	0.8121546961325967	0.8121546855947589
6	SqueezeNet	03_France_ByShape_128_3dim	train	2.975418334104577	0.8153988845420607	0.8153988845420607	0.8153988845420607	0.8153988533943025
7	SqueezeNet	03_France_ByShape_128_3dim	test	3.0277085699429267	0.8121546961325967	0.8121546961325967	0.8121546961325967	0.8121546855947589
8	SqueezeNet	03_France_ByShape_160_3dim	train	2.9754183327775725	0.8153988841734481	0.8153988841734481	0.8153988841734481	0.8153988522147425
9	SqueezeNet	03_France_ByShape_160_3dim	test	3.0277085699429267	0.8121546961325967	0.8121546961325967	0.8121546961325967	0.8121546855947589
10	SqueezeNet	03_France_ByShape_192_3dim	train	2.97541833299874	0.8153988842656013	0.8153988842656013	0.8153988842656013	0.8153988521041587
11	SqueezeNet	03_France_ByShape_192_3dim	test	3.0277085699429267	0.8121546961325967	0.8121546961325967	0.8121546961325967	0.8121546855947589
12	SqueezeNet	03_France_ByShape_224_3dim	train	2.9754183315242893	0.8153988852608549	0.8153988852608549	0.8153988852608549	0.8153988554216715
13	SqueezeNet	03_France_ByShape_224_3dim	test	3.0277085699429267	0.8121546961325967	0.8121546961325967	0.8121546961325967	0.8121546855947589
14	Xception	03_France_ByShape_128_3dim	train	0.2381509581948687	0.9477427262322138	0.9534030728452207	0.9406307906962944	0.9465926414518055
15	Xception	03_France_ByShape_128_3dim	test	0.2918988950344739	0.9198895030917384	0.9211593280181042	0.911602209615444	0.9160746596136146
16	Xception	03_France_ByShape_128_3dim	train	0.07940756337506225	0.9795918337120711	0.9813784071893404	0.978664189706117	0.9799498617096161
17	Xception	03_France_ByShape_128_3dim	test	0.388851023346021	0.9226519337016574	0.9254143646408841	0.9198895027624308	0.9225627677875328
18	Xception	03_France_ByShape_160_3dim	train	0.13347804699736268	0.9622758135577376	0.9645691555299799	0.9598020963928326	0.9620262538494708
19	Xception	03_France_ByShape_160_3dim	test	0.3467605278636869	0.9198895034210458	0.9316266475461464	0.9198895034210458	0.9250944915397392
