	net_name	dataset_name	train_or_test	image_size	batch_size_app	batch_size_small_net	dense_1	dense_2	activation_1	activation_2	optimiser
64	Xception	03_France_ByMeaning_128_3dim	train	128	-1	10	0.5	-1	relu	relu	adam
65	Xception	03_France_ByMeaning_128_3dim	test	128	-1	10	0.5	-1	relu	relu	adam
66	Xception	03_France_ByMeaning_160_3dim	train	160	-1	10	0.5	-1	relu	relu	adam
67	Xception	03_France_ByMeaning_160_3dim	test	160	-1	10	0.5	-1	relu	relu	adam
68	Xception	03_France_ByMeaning_160_3dim	train	160	-1	10	0.5	-1	relu	relu	adam
69	Xception	03_France_ByMeaning_160_3dim	test	160	-1	10	0.5	-1	relu	relu	adam
70	Xception	03_France_ByMeaning_192_3dim	train	192	-1	10	0.5	-1	relu	relu	adam
71	Xception	03_France_ByMeaning_192_3dim	test	192	-1	10	0.5	-1	relu	relu	adam
72	Xception	03_France_ByMeaning_224_3dim	train	224	-1	10	0.5	-1	relu	relu	adam
73	Xception	03_France_ByMeaning_224_3dim	test	224	-1	10	0.5	-1	relu	relu	adam
74	VGG16	03_France_ByMeaning_128_3dim	train	128	-1	10	0.5	-1	relu	relu	adam
75	VGG16	03_France_ByMeaning_128_3dim	test	128	-1	10	0.5	-1	relu	relu	adam
76	VGG16	03_France_ByMeaning_128_3dim	train	128	-1	10	0.5	-1	relu	relu	adam
77	VGG16	03_France_ByMeaning_128_3dim	test	128	-1	10	0.5	-1	relu	relu	adam
78	VGG16	03_France_ByMeaning_160_3dim	train	160	-1	10	0.5	-1	relu	relu	adam
79	VGG16	03_France_ByMeaning_160_3dim	test	160	-1	10	0.5	-1	relu	relu	adam
80	VGG16	03_France_ByMeaning_192_3dim	train	192	-1	10	0.5	-1	relu	relu	adam
81	VGG16	03_France_ByMeaning_192_3dim	test	192	-1	10	0.5	-1	relu	relu	adam
82	VGG16	03_France_ByMeaning_224_3dim	train	224	-1	10	0.5	-1	relu	relu	adam
83	VGG16	03_France_ByMeaning_224_3dim	test	224	-1	10	0.5	-1	relu	relu	adam
84	VGG19	03_France_ByMeaning_128_3dim	train	128	-1	10	0.5	-1	relu	relu	adam
85	VGG19	03_France_ByMeaning_128_3dim	test	128	-1	10	0.5	-1	relu	relu	adam
86	VGG19	03_France_ByMeaning_192_3dim	train	192	-1	10	0.5	-1	relu	relu	adam
87	VGG19	03_France_ByMeaning_192_3dim	test	192	-1	10	0.5	-1	relu	relu	adam
88	VGG19	03_France_ByMeaning_224_3dim	train	224	-1	10	0.5	-1	relu	relu	adam
89	VGG19	03_France_ByMeaning_224_3dim	test	224	-1	10	0.5	-1	relu	relu	adam
90	VGG19	03_France_ByMeaning_160_3dim	train	160	-1	10	0.5	-1	relu	relu	adam
91	VGG19	03_France_ByMeaning_160_3dim	test	160	-1	10	0.5	-1	relu	relu	adam
92	MobileNet	03_France_ByMeaningLarge_128_3dim	train	128	-1	10	0.5	-1	relu	relu	adam
93	MobileNet	03_France_ByMeaningLarge_128_3dim	test	128	-1	10	0.5	-1	relu	relu	adam
94	MobileNet	03_France_ByMeaningLarge_160_3dim	train	160	-1	10	0.5	-1	relu	relu	adam
95	MobileNet	03_France_ByMeaningLarge_160_3dim	test	160	-1	10	0.5	-1	relu	relu	adam
96	MobileNet	03_France_ByMeaningLarge_160_3dim	train	160	-1	10	0.5	-1	relu	relu	adam
97	MobileNet	03_France_ByMeaningLarge_160_3dim	test	160	-1	10	0.5	-1	relu	relu	adam
98	MobileNet	03_France_ByMeaningLarge_192_3dim	train	192	-1	10	0.5	-1	relu	relu	adam
99	MobileNet	03_France_ByMeaningLarge_192_3dim	test	192	-1	10	0.5	-1	relu	relu	adam
100	MobileNet	03_France_ByMeaningLarge_224_3dim	train	224	-1	10	0.5	-1	relu	relu	adam
101	MobileNet	03_France_ByMeaningLarge_224_3dim	test	224	-1	10	0.5	-1	relu	relu	adam
102	SqueezeNet	03_France_ByMeaningLarge_128_3dim	train	128	-1	10	0.5	-1	relu	relu	adam
103	SqueezeNet	03_France_ByMeaningLarge_128_3dim	test	128	-1	10	0.5	-1	relu	relu	adam
104	SqueezeNet	03_France_ByMeaningLarge_160_3dim	train	160	-1	10	0.5	-1	relu	relu	adam
105	SqueezeNet	03_France_ByMeaningLarge_160_3dim	test	160	-1	10	0.5	-1	relu	relu	adam
106	SqueezeNet	03_France_ByMeaningLarge_192_3dim	train	192	-1	10	0.5	-1	relu	relu	adam
107	SqueezeNet	03_France_ByMeaningLarge_192_3dim	test	192	-1	10	0.5	-1	relu	relu	adam
108	SqueezeNet	03_France_ByMeaningLarge_224_3dim	train	224	-1	10	0.5	-1	relu	relu	adam
